observation_date,CSUSHPISA
1995-01-01,80.426
1995-02-01,80.528
1995-03-01,80.599
1995-04-01,80.662
1995-05-01,80.705
1995-06-01,80.786
1995-07-01,80.939
1995-08-01,81.111
1995-09-01,81.307
1995-10-01,81.482
1995-11-01,81.619
1995-12-01,81.737
1996-01-01,81.835
1996-02-01,81.955
1996-03-01,82.195
1996-04-01,82.421
1996-05-01,82.610
1996-06-01,82.752
1996-07-01,82.929
1996-08-01,83.087
1996-09-01,83.257
1996-10-01,83.377
1996-11-01,83.553
1996-12-01,83.721
1997-01-01,83.955
1997-02-01,84.180
1997-03-01,84.452
1997-04-01,84.623
1997-05-01,84.861
1997-06-01,85.080
1997-07-01,85.332
1997-08-01,85.574
1997-09-01,85.852
1997-10-01,86.148
1997-11-01,86.634
1997-12-01,87.094
1998-01-01,87.617
1998-02-01,88.006
1998-03-01,88.444
1998-04-01,88.880
1998-05-01,89.365
1998-06-01,89.845
1998-07-01,90.310
1998-08-01,90.786
1998-09-01,91.259
1998-10-01,91.717
1998-11-01,92.200
1998-12-01,92.712
1999-01-01,93.208
1999-02-01,93.672
1999-03-01,94.219
1999-04-01,94.787
1999-05-01,95.346
1999-06-01,95.976
1999-07-01,96.592
1999-08-01,97.219
1999-09-01,97.863
1999-10-01,98.523
1999-11-01,99.154
1999-12-01,99.845
2000-01-01,100.552
2000-02-01,101.339
2000-03-01,102.127
2000-04-01,102.922
2000-05-01,103.677
2000-06-01,104.425
2000-07-01,105.055
2000-08-01,105.769
2000-09-01,106.539
2000-10-01,107.384
2000-11-01,108.303
2000-12-01,109.141
2001-01-01,109.847
2001-02-01,110.502
2001-03-01,111.109
2001-04-01,111.652
2001-05-01,112.163
2001-06-01,112.795
2001-07-01,113.492
2001-08-01,114.168
2001-09-01,114.813
2001-10-01,115.310
2001-11-01,115.856
2001-12-01,116.454
2002-01-01,117.144
2002-02-01,117.845
2002-03-01,118.688
2002-04-01,119.612
2002-05-01,120.725
2002-06-01,121.814
2002-07-01,122.889
2002-08-01,123.832
2002-09-01,124.781
2002-10-01,125.736
2002-11-01,126.671
2002-12-01,127.625
2003-01-01,128.462
2003-02-01,129.356
2003-03-01,130.148
2003-04-01,130.884
2003-05-01,131.735
2003-06-01,132.649
2003-07-01,133.777
2003-08-01,134.968
2003-09-01,136.295
2003-10-01,137.533
2003-11-01,138.795
2003-12-01,140.181
2004-01-01,141.647
2004-02-01,143.192
2004-03-01,145.058
2004-04-01,146.593
2004-05-01,148.186
2004-06-01,149.851
2004-07-01,151.338
2004-08-01,152.633
2004-09-01,154.178
2004-10-01,155.750
2004-11-01,157.526
2004-12-01,159.329
2005-01-01,161.288
2005-02-01,163.346
2005-03-01,165.815
2005-04-01,167.503
2005-05-01,169.353
2005-06-01,171.192
2005-07-01,172.861
2005-08-01,174.443
2005-09-01,176.439
2005-10-01,178.029
2005-11-01,179.683
2005-12-01,180.912
2006-01-01,182.321
2006-02-01,183.287
2006-03-01,184.364
2006-04-01,184.330
2006-05-01,184.156
2006-06-01,183.507
2006-07-01,183.066
2006-08-01,182.592
2006-09-01,182.797
2006-10-01,183.198
2006-11-01,183.608
2006-12-01,184.137
2007-01-01,184.515
2007-02-01,184.597
2007-03-01,184.148
2007-04-01,183.009
2007-05-01,181.600
2007-06-01,180.253
2007-07-01,179.110
2007-08-01,178.115
2007-09-01,177.557
2007-10-01,176.623
2007-11-01,175.146
2007-12-01,174.341
2008-01-01,173.131
2008-02-01,171.539
2008-03-01,170.050
2008-04-01,168.332
2008-05-01,166.653
2008-06-01,165.013
2008-07-01,163.563
2008-08-01,161.986
2008-09-01,160.306
2008-10-01,158.326
2008-11-01,156.141
2008-12-01,153.617
2009-01-01,151.506
2009-02-01,150.012
2009-03-01,148.659
2009-04-01,147.948
2009-05-01,147.694
2009-06-01,148.088
2009-07-01,148.407
2009-08-01,148.275
2009-09-01,148.022
2009-10-01,147.847
2009-11-01,148.133
2009-12-01,147.930
2010-01-01,147.396
2010-02-01,145.634
2010-03-01,145.858
2010-04-01,146.398
2010-05-01,146.386
2010-06-01,145.713
2010-07-01,144.983
2010-08-01,143.908
2010-09-01,143.013
2010-10-01,142.522
2010-11-01,142.161
2010-12-01,142.048
2011-01-01,141.510
2011-02-01,140.338
2011-03-01,139.970
2011-04-01,140.003
2011-05-01,139.900
2011-06-01,139.857
2011-07-01,139.726
2011-08-01,139.303
2011-09-01,138.659
2011-10-01,137.940
2011-11-01,137.139
2011-12-01,136.661
2012-01-01,136.595
2012-02-01,136.521
2012-03-01,137.893
2012-04-01,139.143
2012-05-01,140.144
2012-06-01,141.019
2012-07-01,141.659
2012-08-01,142.269
2012-09-01,142.897
2012-10-01,143.590
2012-11-01,144.574
2012-12-01,145.491
2013-01-01,146.815
2013-02-01,147.772
2013-03-01,149.952
2013-04-01,151.509
2013-05-01,152.841
2013-06-01,154.190
2013-07-01,155.596
2013-08-01,156.952
2013-09-01,158.215
2013-10-01,159.234
2013-11-01,160.070
2013-12-01,160.990
2014-01-01,161.920
2014-02-01,162.517
2014-03-01,163.073
2014-04-01,163.375
2014-05-01,163.640
2014-06-01,164.049
2014-07-01,164.574
2014-08-01,165.198
2014-09-01,165.889
2014-10-01,166.626
2014-11-01,167.320
2014-12-01,168.035
2015-01-01,168.610
2015-02-01,169.104
2015-03-01,169.776
2015-04-01,170.277
2015-05-01,170.860
2015-06-01,171.457
2015-07-01,172.132
2015-08-01,172.909
2015-09-01,173.801
2015-10-01,174.765
2015-11-01,175.710
2015-12-01,176.515
2016-01-01,177.244
2016-02-01,177.625
2016-03-01,178.143
2016-04-01,178.743
2016-05-01,179.403
2016-06-01,180.068
2016-07-01,180.838
2016-08-01,181.823
2016-09-01,182.796
2016-10-01,183.722
2016-11-01,184.730
2016-12-01,185.695
2017-01-01,186.776
2017-02-01,187.292
2017-03-01,187.971
2017-04-01,188.702
2017-05-01,189.588
2017-06-01,190.478
2017-07-01,191.437
2017-08-01,192.621
2017-09-01,193.715
2017-10-01,194.762
2017-11-01,195.914
2017-12-01,197.136
2018-01-01,198.281
2018-02-01,199.209
2018-03-01,199.945
2018-04-01,200.633
2018-05-01,201.393
2018-06-01,202.180
2018-07-01,202.873
2018-08-01,203.635
2018-09-01,204.294
2018-10-01,205.062
2018-11-01,205.636
2018-12-01,206.127
2019-01-01,206.516
2019-02-01,206.835
2019-03-01,207.053
2019-04-01,207.505
2019-05-01,208.113
2019-06-01,208.567
2019-07-01,209.188
2019-08-01,210.010
2019-09-01,210.817
2019-10-01,211.720
2019-11-01,212.760
2019-12-01,213.922
2020-01-01,215.004
2020-02-01,215.852
2020-03-01,216.404
2020-04-01,216.813
2020-05-01,216.942
2020-06-01,217.488
2020-07-01,219.205
2020-08-01,222.261
2020-09-01,225.712
2020-10-01,229.656
2020-11-01,233.219
2020-12-01,236.543
2021-01-01,239.642
2021-02-01,242.358
2021-03-01,245.458
2021-04-01,249.044
2021-05-01,253.290
2021-06-01,258.093
2021-07-01,262.464
2021-08-01,266.583
2021-09-01,270.160
2021-10-01,273.615
2021-11-01,277.315
2021-12-01,281.568
2022-01-01,286.137
2022-02-01,291.110
2022-03-01,296.345
2022-04-01,300.378
2022-05-01,303.352
2022-06-01,304.146
2022-07-01,303.207
2022-08-01,300.977
2022-09-01,299.027
2022-10-01,298.773
2022-11-01,298.465
2022-12-01,297.837
2023-01-01,297.428
2023-02-01,297.701
2023-03-01,298.780
2023-04-01,300.202
2023-05-01,302.170
2023-06-01,304.163
2023-07-01,306.340
2023-08-01,309.006
2023-09-01,311.208
2023-10-01,313.277
2023-11-01,314.118
2023-12-01,315.033
2024-01-01,315.983
2024-02-01,317.204
2024-03-01,318.265
2024-04-01,319.286
2024-05-01,320.104
2024-06-01,320.706
2024-07-01,321.366
2024-08-01,322.239
2024-09-01,323.380
2024-10-01,324.541
2024-11-01,325.945
2024-12-01,327.791
